# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1520530312.49801 0.859565 -0.222085 1.260141 0.026088 -0.005618 -0.011079 0.999582 0.0010000000 0.0000000000 0.0000000000 0.0010000000 0.0000000000 0.0010000000 0.0010000000 0.0000000000 0.0000000000 0.0010000000 0.0000000000 0.0010000000
1520530312.54972 0.859689 -0.222077 1.260319 0.026359 -0.006593 -0.011557 0.999564 0.0010026745 -0.0000000000 -0.0000000000 0.0010026745 0.0000000000 0.0010026745 0.0010028519 -0.0000000000 -0.0000000016 0.0010028520 -0.0000000001 0.0010026753
1520530312.59972 0.860044 -0.222155 1.260770 0.026054 -0.007277 -0.012071 0.999561 0.0010103464 0.0000000000 0.0000000000 0.0010103464 0.0000000000 0.0010103464 0.0010130144 0.0000000000 -0.0000000246 0.0010130146 0.0000000036 0.0010103736
1520530312.64972 0.860648 -0.222287 1.261457 0.025155 -0.008010 -0.012256 0.999576 0.0010230187 0.0000000000 0.0000000000 0.0010230187 0.0000000000 0.0010230187 0.0010362291 0.0000000002 -0.0000001239 0.0010362302 0.0000000231 0.0010231576
1520530312.69972 0.861469 -0.222355 1.262178 0.023842 -0.008396 -0.011976 0.999609 0.0010406910 0.0000000001 0.0000000000 0.0010406910 0.0000000000 0.0010406909 0.0010819346 0.0000000005 -0.0000003853 0.0010819381 0.0000000546 0.0010411250
1520530312.75009 0.861068 -0.218606 1.264959 0.025817 0.008734 -0.008317 0.999594 0.0004115409 -0.0000122108 -0.0000170833 0.0003113483 0.0000156618 0.0003748115 0.0006254899 0.0000648314 -0.0000713079 0.0006338763 -0.0000370124 0.0007858477
1520530312.80079 0.853138 -0.220784 1.278601 0.032012 0.001806 -0.005768 0.999469 0.0003340028 -0.0000058005 -0.0000085532 0.0002737944 0.0000036511 0.0003676483 0.0005858212 0.0000237079 -0.0000375370 0.0005912141 -0.0000350672 0.0006853310
1520530312.85085 0.838098 -0.224370 1.290491 0.036499 -0.006926 -0.005114 0.999297 0.0002931710 0.0000054413 -0.0000082790 0.0002404595 0.0000084027 0.0003779946 0.0005848041 0.0000307822 -0.0000273725 0.0006051095 -0.0000660510 0.0006718266
1520530312.90238 0.847618 -0.232611 1.270691 0.033828 -0.009975 -0.004041 0.999370 0.0002177078 -0.0000075684 -0.0000090222 0.0001706138 0.0000065600 0.0003797653 0.0005874061 0.0000265684 -0.0000079901 0.0006305615 -0.0000828334 0.0006635279
1520530312.95310 0.843605 -0.230893 1.257437 0.034545 -0.014328 -0.001939 0.999299 0.0001680067 0.0000017457 -0.0000022470 0.0001345888 -0.0000016312 0.0003635179 0.0005963199 0.0000125466 -0.0000006143 0.0006440227 -0.0000808472 0.0006596390
1520530313.00230 0.842169 -0.229000 1.247174 0.031806 -0.011096 0.000657 0.999432 0.0001022726 -0.0000030094 0.0000112068 0.0001011191 -0.0000005263 0.0003571549 0.0006154233 0.0000048015 -0.0000008818 0.0006288016 -0.0000394025 0.0006329310
1520530313.05242 0.850845 -0.237169 1.235319 0.030056 -0.007523 0.001920 0.999518 0.0000938252 -0.0000042794 0.0000107074 0.0000873764 0.0000020239 0.0003621576 0.0006408662 0.0000055481 -0.0000004844 0.0006153570 -0.0000415910 0.0006456272
1520530313.10144 0.867771 -0.218516 1.221362 0.028475 -0.007417 0.000448 0.999567 0.0000816323 -0.0000051523 0.0000069518 0.0000676052 0.0000052424 0.0003641876 0.0005849721 -0.0000025913 -0.0000039385 0.0005487486 -0.0000269088 0.0006608988
