# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1520530313.89975 0.932075 -0.236349 1.227350 0.025692 0.003825 0.000680 0.999662 0.0029646062 0.0000000084 0.0000000137 0.0029647176 0.0000001463 0.0029647557 0.1160345399 0.0000012227 -0.0008360410 0.1160402069 0.0001788467 0.0039439259
1520530313.94975 0.938663 -0.238442 1.224759 0.023873 0.004650 0.000027 0.999704 0.0031072539 0.0000000060 0.0000000119 0.0031073791 0.0000001609 0.0031074175 0.1348641751 0.0000016286 -0.0009976774 0.1348711104 0.0002260916 0.0042341790
1520530313.99976 0.946326 -0.240683 1.222341 0.022429 0.005384 -0.000313 0.999734 0.0032549041 0.0000000000 0.0000000082 0.0032550442 0.0000001754 0.0032550778 0.1561138632 0.0000021575 -0.0011980790 0.1561225762 0.0002822437 0.0045458111
1520530314.04976 0.955191 -0.242837 1.220051 0.022192 0.006476 0.000913 0.999732 0.0034075462 -0.0000000084 0.0000000033 0.0034077042 0.0000001920 0.0034077286 0.1800177683 0.0000027895 -0.0014464306 0.1800289858 0.0003436392 0.0048800681
1520530314.09976 0.865547 -0.272200 1.219398 0.025378 0.003183 0.002356 0.999670 0.0008110607 0.0002211186 -0.0001680587 0.0021012264 -0.0001387467 0.0034987840 0.0676467605 0.0050107104 0.0002773076 0.0055160056 0.0022805392 0.0051772132
1520530314.14976 0.869939 -0.276769 1.216963 0.026125 0.005294 0.004767 0.999633 0.0008812950 0.0002421452 -0.0001621304 0.0022193687 -0.0001344780 0.0036603054 0.0784444440 0.0056805825 0.0013547576 0.0059073984 0.0027027002 0.0055735395
1520530314.19977 0.875410 -0.281602 1.214368 0.026600 0.006588 0.008259 0.999590 0.0009591527 0.0002705272 -0.0001767219 0.0023409373 -0.0001353620 0.0038226373 0.0908281272 0.0060180063 0.0014496619 0.0067499019 0.0030149390 0.0059759207
1520530314.24977 0.882029 -0.286648 1.211600 0.026764 0.007350 0.012042 0.999542 0.0010407139 0.0003008069 -0.0001886639 0.0024657326 -0.0001370501 0.0039899373 0.1048505655 0.0063126184 0.0015311800 0.0077930074 0.0033544592 0.0064049183
1520530314.29977 0.956217 -0.242752 1.263999 0.020914 0.005628 0.017226 0.999617 0.0007266119 -0.0000781039 -0.0001844110 0.0002373546 0.0001932101 0.0040883359 0.0050674689 -0.0021341958 0.0000042858 0.0045582475 -0.0004306073 0.0025510188
1520530314.34977 0.962522 -0.248335 1.261747 0.020069 0.008466 0.017759 0.999605 0.0000663558 -0.0000035960 0.0000178712 0.0000444876 0.0000725493 0.0016087735 0.0022703530 -0.0001372019 0.0001240482 0.0018853629 0.0001956188 0.0017014325
1520530314.39977 0.984385 -0.248206 1.263354 0.020409 0.007677 0.021294 0.999535 0.0000463480 0.0000000484 0.0000106248 0.0000345149 0.0000766453 0.0013051706 0.0019743822 -0.0000638620 0.0000718267 0.0017674803 0.0001481993 0.0016104970
1520530314.44977 0.999996 -0.247589 1.270696 0.023102 0.006788 0.027069 0.999344 0.0000367597 -0.0000016749 -0.0000020130 0.0000285494 0.0000615944 0.0011796360 0.0017447803 -0.0000133645 0.0000685059 0.0016843453 0.0001053776 0.0015593503
1520530314.49977 1.021585 -0.254334 1.272268 0.026404 0.004393 0.030426 0.999179 0.0000344989 -0.0000017685 0.0000016822 0.0000300497 0.0000732765 0.0011753744 0.0017174450 -0.0000098869 0.0000741512 0.0016535993 0.0000838730 0.0015412928
1520530314.54978 1.039502 -0.257756 1.281367 0.031823 0.002078 0.037842 0.998775 0.0000288246 -0.0000002254 0.0000114172 0.0000275054 0.0000760223 0.0011424434 0.0016292973 -0.0000016173 0.0000607776 0.0016218561 0.0000597876 0.0014934660
1520530314.59978 1.057588 -0.262232 1.296168 0.035874 0.002364 0.046135 0.998288 0.0000275058 -0.0000000263 0.0000109743 0.0000283250 0.0000825683 0.0011367877 0.0015889107 0.0000027436 0.0000635536 0.0015951431 0.0000388958 0.0014707645
1520530314.64978 1.077773 -0.272751 1.312136 0.037061 0.003571 0.053889 0.997853 0.0000251738 0.0000002084 0.0000098512 0.0000288001 0.0000878963 0.0011378401 0.0015624762 0.0000010981 0.0000617367 0.0015714502 0.0000176695 0.0014408835
1520530314.69978 1.098776 -0.282492 1.335439 0.037268 0.002495 0.062645 0.997337 0.0000237260 0.0000005813 0.0000099793 0.0000279731 0.0000874854 0.0011311492 0.0015199807 0.0000092869 0.0000676953 0.0015532026 0.0000004660 0.0014156368
1520530314.74978 1.114899 -0.291088 1.360536 0.038222 -0.000330 0.072209 0.996657 0.0000228843 0.0000014814 0.0000194100 0.0000274187 0.0000881951 0.0011335354 0.0014933733 0.0000081297 0.0000661328 0.0015401313 -0.0000147220 0.0013960893
1520530314.79979 1.130845 -0.297527 1.386359 0.038097 -0.004408 0.081862 0.995906 0.0000229005 0.0000016239 0.0000262883 0.0000267661 0.0000859004 0.0011291485 0.0014678390 0.0000150434 0.0000690176 0.0015330244 -0.0000244075 0.0013813179
1520530314.84978 1.145956 -0.305003 1.411870 0.032435 -0.008012 0.090971 0.995293 0.0000222511 0.0000019306 0.0000304796 0.0000249205 0.0000744434 0.0011265166 0.0014456559 0.0000204368 0.0000724919 0.0015250572 -0.0000346245 0.0013675244
1520530314.89981 1.156120 -0.310643 1.440489 0.021676 -0.009945 0.099032 0.994798 0.0000220552 0.0000013557 0.0000342535 0.0000206349 0.0000478683 0.0011268903 0.0014259329 0.0000255498 0.0000728533 0.0015214883 -0.0000438877 0.0013540626
1520530314.94981 1.163871 -0.317072 1.466896 0.007501 -0.014297 0.105856 0.994250 0.0000179300 0.0000012110 0.0000366765 0.0000181511 0.0000176962 0.0011189610 0.0014057151 0.0000245491 0.0000667168 0.0015129726 -0.0000565045 0.0013296370
1520530314.99992 1.174437 -0.321371 1.492500 -0.005485 -0.021469 0.110726 0.993604 0.0000177525 -0.0000003080 0.0000482773 0.0000168943 -0.0000134094 0.0011208950 0.0014050981 0.0000268682 0.0000618565 0.0015130588 -0.0000603890 0.0013163006
1520530315.04982 1.183488 -0.324505 1.516748 -0.016073 -0.027964 0.113935 0.992965 0.0000181993 -0.0000020554 0.0000567820 0.0000177587 -0.0000388811 0.0011178031 0.0014060478 0.0000291251 0.0000599454 0.0015167286 -0.0000637303 0.0013054861
1520530315.09982 1.190033 -0.324488 1.538001 -0.022544 -0.028318 0.116269 0.992558 0.0000177400 -0.0000028792 0.0000573736 0.0000170116 -0.0000531683 0.0011097112 0.0013976323 0.0000280278 0.0000543108 0.0015172470 -0.0000678369 0.0012928951
1520530315.14982 1.200768 -0.326538 1.555756 -0.025578 -0.027107 0.114393 0.992736 0.0000170041 -0.0000029325 0.0000517563 0.0000171357 -0.0000597489 0.0011035392 0.0013947428 0.0000280200 0.0000507556 0.0015204229 -0.0000713857 0.0012816149
1520530315.19982 1.206681 -0.327280 1.564589 -0.027584 -0.027454 0.116236 0.992459 0.0000171760 -0.0000030851 0.0000520903 0.0000175974 -0.0000634230 0.0011023468 0.0013966208 0.0000279188 0.0000480095 0.0015267065 -0.0000755326 0.0012733328
1520530315.24982 1.208931 -0.328266 1.563478 -0.031101 -0.028668 0.118029 0.992109 0.0000174753 -0.0000035480 0.0000543387 0.0000179743 -0.0000712200 0.0011015598 0.0014008678 0.0000279234 0.0000473371 0.0015289500 -0.0000802452 0.0012636042
1520530315.29964 1.207733 -0.329914 1.555222 -0.034949 -0.029353 0.118107 0.991951 0.0000174842 -0.0000039294 0.0000528427 0.0000192664 -0.0000795770 0.0011003288 0.0014034970 0.0000271554 0.0000483833 0.0015308827 -0.0000843026 0.0012569064
1520530315.34964 1.204131 -0.332674 1.538472 -0.035456 -0.028700 0.116398 0.992155 0.0000169653 -0.0000036850 0.0000527493 0.0000195512 -0.0000811962 0.0010983587 0.0014071354 0.0000269077 0.0000436443 0.0015264457 -0.0000875973 0.0012428577
1520530315.39964 1.197310 -0.332323 1.515290 -0.031435 -0.026809 0.114495 0.992564 0.0000168087 -0.0000031103 0.0000495277 0.0000181910 -0.0000712479 0.0011028832 0.0014144140 0.0000273551 0.0000453463 0.0015242751 -0.0000911766 0.0012372797
1520530315.44964 1.186471 -0.334025 1.483182 -0.021558 -0.026400 0.114871 0.992796 0.0000163764 -0.0000023065 0.0000505827 0.0000154879 -0.0000509067 0.0010998781 0.0014115658 0.0000239962 0.0000486316 0.0015149710 -0.0000942970 0.0012265794
1520530315.49964 1.180079 -0.336031 1.453608 -0.006273 -0.025913 0.115318 0.992971 0.0000164063 -0.0000012736 0.0000534191 0.0000127804 -0.0000190063 0.0010946756 0.0014024091 0.0000261924 0.0000491609 0.0015063592 -0.0000945762 0.0012192670
1520530315.54964 1.164614 -0.343503 1.423176 0.012297 -0.024601 0.116204 0.992844 0.0000153389 0.0000006451 0.0000548112 0.0000124009 0.0000205811 0.0010840520 0.0013734609 0.0000271499 0.0000482756 0.0014862795 -0.0000861999 0.0012079829
1520530315.59965 1.147828 -0.340849 1.385189 0.029471 -0.022798 0.117086 0.992423 0.0000153238 0.0000025624 0.0000553305 0.0000152296 0.0000596673 0.0010775836 0.0013707101 0.0000297661 0.0000472881 0.0014738092 -0.0000854806 0.0012036652
1520530315.64965 1.127296 -0.336923 1.346514 0.045986 -0.021741 0.116340 0.991906 0.0000153699 0.0000043788 0.0000565659 0.0000202384 0.0000939014 0.0010705225 0.0013708275 0.0000268635 0.0000480852 0.0014608037 -0.0000851080 0.0012004173
