# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1520530313.24974 0.883553 -0.225179 1.255972 0.024433 0.000581 -0.004292 0.999692 0.0015650658 0.0000000062 0.0000000089 0.0015650778 0.0000000186 0.0015650734 0.0097738332 0.0000000768 -0.0000702786 0.0097744318 0.0000091924 0.0016466537
1520530313.29974 0.886374 -0.225300 1.255062 0.024678 -0.000191 -0.003062 0.999691 0.0016427314 0.0000000054 0.0000000083 0.0016427479 0.0000000239 0.0016427431 0.0123456894 0.0000000862 -0.0000898670 0.0123464414 0.0000108300 0.0017481780
1520530313.34974 0.889027 -0.225580 1.253901 0.025502 0.000047 -0.002279 0.999672 0.0017253944 0.0000000050 0.0000000079 0.0017254154 0.0000000298 0.0017254121 0.0154694571 0.0000001001 -0.0001120056 0.0154703636 0.0000133320 0.0018595637
1520530313.39979 0.891572 -0.226102 1.252444 0.026110 0.000793 -0.001856 0.999657 0.0018131462 0.0000000052 0.0000000082 0.0018131729 0.0000000368 0.0018131711 0.0192305835 0.0000001238 -0.0001369672 0.0192316441 0.0000173944 0.0019815651
1520530313.44974 0.894200 -0.226817 1.250757 0.026024 0.000766 -0.001148 0.999660 0.0019057193 0.0000000056 0.0000000088 0.0019057523 0.0000000447 0.0019057528 0.0237070059 0.0000001587 -0.0001658450 0.0237082338 0.0000232429 0.0021144793
1520530313.49974 0.897028 -0.227572 1.248832 0.025580 0.000783 -0.000755 0.999672 0.0020033778 0.0000000057 0.0000000091 0.0020034168 0.0000000531 0.0020034214 0.0290086114 0.0000002000 -0.0001998508 0.0290100341 0.0000303613 0.0022593864
1520530313.54975 0.900200 -0.228320 1.246618 0.025325 0.001230 -0.000874 0.999678 0.0021060382 0.0000000054 0.0000000087 0.0021060837 0.0000000619 0.0021060921 0.0352377217 0.0000002472 -0.0002407476 0.0352393887 0.0000385871 0.0024169222
1520530313.59975 0.903725 -0.229065 1.244198 0.025110 0.001556 -0.000638 0.999683 0.0022136957 0.0000000049 0.0000000082 0.0022137484 0.0000000711 0.0022137597 0.0425114955 0.0000003016 -0.0002897623 0.0425134670 0.0000480354 0.0025878621
1520530313.64974 0.907521 -0.229892 1.241561 0.025118 0.002048 -0.000244 0.999682 0.0023263454 0.0000000040 0.0000000074 0.0023264064 0.0000000814 0.0023264204 0.0509559607 0.0000003695 -0.0003474545 0.0509582936 0.0000595682 0.0027730125
1520530313.69975 0.911700 -0.230712 1.238798 0.025777 0.002045 0.000537 0.999665 0.0024439989 0.0000000037 0.0000000071 0.0024440690 0.0000000926 0.0024440863 0.0607111479 0.0000004474 -0.0004162114 0.0607139302 0.0000726103 0.0029732648
1520530313.74975 0.916201 -0.231697 1.235967 0.026797 0.002161 0.001072 0.999638 0.0025666531 0.0000000045 0.0000000082 0.0025667327 0.0000001049 0.0025667550 0.0719275055 0.0000005531 -0.0004970268 0.0719308235 0.0000892553 0.0031895119
1520530313.79975 0.921077 -0.232908 1.233103 0.027275 0.002309 0.001368 0.999624 0.0026943064 0.0000000062 0.0000000106 0.0026943952 0.0000001178 0.0026944237 0.0847675351 0.0000007012 -0.0005922410 0.0847714982 0.0001109371 0.0034227013
1520530313.84975 0.926290 -0.234483 1.230189 0.026873 0.003145 0.001168 0.999633 0.0028269548 0.0000000078 0.0000000129 0.0028270539 0.0000001318 0.0028270888 0.0994054550 0.0000009199 -0.0007033218 0.0994101720 0.0001406292 0.0036738097
1520530313.89975 0.932075 -0.236349 1.227350 0.025692 0.003825 0.000680 0.999662 0.0029646062 0.0000000084 0.0000000137 0.0029647176 0.0000001463 0.0029647557 0.1160345399 0.0000012227 -0.0008360410 0.1160402070 0.0001788467 0.0039439259
1520530313.94975 0.938663 -0.238442 1.224759 0.023873 0.004650 0.000027 0.999704 0.0031072539 0.0000000060 0.0000000119 0.0031073791 0.0000001609 0.0031074175 0.1348641751 0.0000016286 -0.0009976774 0.1348711104 0.0002260916 0.0042341790
1520530313.99976 0.946326 -0.240683 1.222341 0.022429 0.005384 -0.000313 0.999734 0.0032549041 0.0000000000 0.0000000082 0.0032550442 0.0000001754 0.0032550778 0.1561138632 0.0000021575 -0.0011980790 0.1561225762 0.0002822437 0.0045458111
1520530314.04976 0.955191 -0.242837 1.220051 0.022192 0.006476 0.000913 0.999732 0.0034075462 -0.0000000084 0.0000000033 0.0034077042 0.0000001920 0.0034077286 0.1800177684 0.0000027895 -0.0014464306 0.1800289859 0.0003436392 0.0048800681
1520530314.09976 0.865371 -0.272285 1.219399 0.025388 0.003170 0.002356 0.999670 0.0008093754 0.0002232899 -0.0001680985 0.0020983998 -0.0001386912 0.0034987822 0.0675181010 0.0049485105 0.0002781962 0.0054855207 0.0022809746 0.0051772070
1520530314.14976 0.869750 -0.276861 1.216965 0.026135 0.005281 0.004767 0.999633 0.0008832293 0.0002479625 -0.0001866643 0.0022171638 -0.0001390134 0.0036557072 0.0784195561 0.0052640218 0.0002257331 0.0061984339 0.0025522936 0.0055536403
1520530314.19977 0.875206 -0.281703 1.214369 0.026611 0.006574 0.008258 0.999590 0.0009612349 0.0002764402 -0.0002016204 0.0023384941 -0.0001397511 0.0038177588 0.0907972658 0.0055429021 0.0001474441 0.0070801785 0.0028482247 0.0059559720
