# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638154.95175 3.240583 2.314142 1.282383 -0.551156 -0.603234 -0.406535 0.408735 0.0001943066 0.0000081655 -0.0000681981 0.0000077004 -0.0000024292 0.0000306606 0.0012188539 0.0000512680 0.0000023721 0.0012403575 0.0000327113 0.0008081570
1403638155.01842 3.184789 2.362187 1.289827 -0.546077 -0.607360 -0.404951 0.411008 0.0001943171 0.0000085047 -0.0000675215 0.0000077201 -0.0000025381 0.0000301754 0.0012417228 0.0000571145 -0.0000002401 0.0012878324 0.0000324388 0.0008260938
1403638155.08508 3.125693 2.411281 1.304632 -0.540346 -0.611782 -0.402687 0.414236 0.0001948023 0.0000087243 -0.0000672082 0.0000078263 -0.0000026136 0.0000299037 0.0012912935 0.0000631471 0.0000005923 0.0013485593 0.0000273818 0.0008536146
1403638155.15175 3.067343 2.457829 1.326986 -0.534967 -0.615727 -0.399706 0.418241 0.0001954108 0.0000086094 -0.0000668377 0.0000078183 -0.0000025685 0.0000295785 0.0013436844 0.0000685260 0.0000047979 0.0013908534 0.0000304113 0.0008675437
1403638155.21842 3.011112 2.502848 1.340071 -0.530032 -0.617646 -0.397573 0.423692 0.0001961208 0.0000079394 -0.0000657999 0.0000077708 -0.0000022964 0.0000287859 0.0013946924 0.0000766002 0.0000042049 0.0014191714 0.0000401569 0.0008825256
1403638155.28508 2.956578 2.526786 1.358235 -0.524737 -0.618995 -0.397246 0.428593 0.0001969573 0.0000079797 -0.0000643472 0.0000076389 -0.0000022706 0.0000276378 0.0014360073 0.0000943447 -0.0000029435 0.0013849301 0.0000548857 0.0008908695
1403638155.35175 2.897193 2.575499 1.360491 -0.518907 -0.620946 -0.397234 0.432859 0.0001982246 0.0000082051 -0.0000629751 0.0000076302 -0.0000022903 0.0000266022 0.0014782553 0.0001064755 -0.0000006915 0.0014134022 0.0000616164 0.0009050265
1403638155.41842 2.832597 2.599995 1.364582 -0.512388 -0.623757 -0.397394 0.436422 0.0001992024 0.0000089187 -0.0000618927 0.0000077222 -0.0000024862 0.0000258190 0.0015363892 0.0001191760 -0.0000013369 0.0014657749 0.0000634734 0.0009294150
1403638155.48508 2.772662 2.628444 1.368540 -0.506038 -0.627593 -0.395539 0.440001 0.0001999479 0.0000094421 -0.0000613002 0.0000077667 -0.0000026309 0.0000253539 0.0015784079 0.0001286179 -0.0000026576 0.0015030682 0.0000629151 0.0009569137
1403638155.55175 2.713842 2.660064 1.365283 -0.500586 -0.630543 -0.390382 0.446578 0.0001999518 0.0000078994 -0.0000605188 0.0000074835 -0.0000021770 0.0000248012 0.0016054125 0.0001438099 -0.0000040891 0.0015053862 0.0000708831 0.0009622579
1403638155.61842 2.649315 2.696803 1.356679 -0.494725 -0.633158 -0.383363 0.455402 0.0002008025 0.0000057144 -0.0000595514 0.0000072486 -0.0000014857 0.0000240933 0.0016413693 0.0001517088 -0.0000069356 0.0015240916 0.0000709672 0.0009809274
1403638155.68508 2.583988 2.714958 1.353310 -0.487692 -0.635419 -0.376518 0.465440 0.0002016730 0.0000037594 -0.0000579968 0.0000070022 -0.0000009118 0.0000229873 0.0016803934 0.0001575053 -0.0000153770 0.0014990896 0.0000742509 0.0009821067
1403638155.75175 2.529455 2.759683 1.343468 -0.478962 -0.640867 -0.367945 0.473816 0.0001974766 0.0000026644 -0.0000559570 0.0000062360 -0.0000007421 0.0000217578 0.0016113361 0.0001384556 -0.0000157512 0.0012922219 0.0000658991 0.0009050783
1403638155.81842 2.460266 2.784322 1.332386 -0.470751 -0.647076 -0.359214 0.480262 0.0001973617 0.0000013988 -0.0000561466 0.0000062154 -0.0000003998 0.0000218820 0.0016662740 0.0001521937 -0.0000187362 0.0013202225 0.0000700586 0.0009209390
1403638155.88508 2.393288 2.799995 1.323026 -0.462302 -0.655661 -0.348119 0.484974 0.0001966019 0.0000003922 -0.0000573481 0.0000062125 -0.0000001339 0.0000226627 0.0017053651 0.0001702852 -0.0000203838 0.0013569908 0.0000726356 0.0009377018
1403638155.95175 2.329376 2.812220 1.315260 -0.454170 -0.666697 -0.334986 0.486856 0.0001949020 -0.0000003840 -0.0000597015 0.0000061803 0.0000000765 0.0000242715 0.0017381059 0.0001855858 -0.0000198087 0.0013836354 0.0000735883 0.0009482622
1403638156.01842 2.264638 2.824401 1.299431 -0.445598 -0.678869 -0.321227 0.487230 0.0001919626 -0.0000008248 -0.0000625960 0.0000059932 0.0000002355 0.0000264167 0.0017608174 0.0001992260 -0.0000202596 0.0013851851 0.0000654639 0.0009467205
1403638156.08508 2.193734 2.838470 1.298558 -0.436574 -0.690509 -0.307916 0.487636 0.0001891873 -0.0000013666 -0.0000651377 0.0000058277 0.0000004387 0.0000284338 0.0017823627 0.0002192709 -0.0000190991 0.0013913911 0.0000570752 0.0009489216
1403638156.15175 2.128072 2.861235 1.295887 -0.427142 -0.699828 -0.295747 0.490229 0.0001873165 -0.0000020672 -0.0000664090 0.0000056774 0.0000007092 0.0000295355 0.0018090438 0.0002402775 -0.0000194556 0.0014036871 0.0000469726 0.0009503492
1403638156.21842 2.063916 2.874730 1.299683 -0.418202 -0.707291 -0.284829 0.493679 0.0001865367 -0.0000031057 -0.0000674776 0.0000056891 0.0000010986 0.0000304268 0.0018574317 0.0002574395 -0.0000218351 0.0014432106 0.0000481503 0.0009678858
1403638156.28508 2.001139 2.883117 1.300461 -0.410195 -0.714954 -0.274985 0.494938 0.0001851938 -0.0000036753 -0.0000688976 0.0000055882 0.0000013294 0.0000316764 0.0018984274 0.0002735851 -0.0000199431 0.0014784782 0.0000446825 0.0009754567
