# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638154.15175 3.796793 1.603958 1.314721 -0.572135 -0.587354 -0.409744 0.399735 0.0001144455 0.0000075846 -0.0000414661 0.0000182121 0.0000014548 0.0000264299 0.0005558588 0.0000690240 0.0000272170 0.0005089210 0.0000416716 0.0004677672
1403638154.21842 3.756903 1.672430 1.312583 -0.567708 -0.586850 -0.413209 0.403204 0.0001149350 0.0000067380 -0.0000408512 0.0000176295 0.0000017215 0.0000257087 0.0005691561 0.0000746128 0.0000200696 0.0005459489 0.0000483385 0.0004902306
1403638154.28509 3.717360 1.741187 1.309082 -0.564897 -0.586300 -0.415977 0.405100 0.0001161017 0.0000068514 -0.0000399815 0.0000176359 0.0000017685 0.0000248724 0.0005931351 0.0000841026 0.0000157087 0.0005846292 0.0000559815 0.0005210828
1403638154.35175 3.677069 1.809307 1.302561 -0.563269 -0.583952 -0.418747 0.407897 0.0001173482 0.0000064299 -0.0000389228 0.0000169225 0.0000020357 0.0000238263 0.0006269918 0.0000917342 0.0000108668 0.0006339531 0.0000632713 0.0005567315
1403638154.41842 3.635278 1.875565 1.296488 -0.560680 -0.580772 -0.422501 0.412110 0.0001183584 0.0000055723 -0.0000376528 0.0000160409 0.0000023752 0.0000226721 0.0006703330 0.0000974534 0.0000063639 0.0006947143 0.0000713570 0.0005990481
1403638154.48509 3.595029 1.936168 1.288469 -0.559848 -0.577922 -0.424751 0.414926 0.0001192737 0.0000050872 -0.0000366524 0.0000153870 0.0000023424 0.0000211523 0.0007121140 0.0001062773 0.0000016837 0.0007588158 0.0000801011 0.0006457423
1403638154.55175 3.549565 1.994442 1.280779 -0.560316 -0.576990 -0.424228 0.416123 0.0001195195 0.0000042197 -0.0000363124 0.0000150162 0.0000026948 0.0000208279 0.0007622385 0.0001118506 0.0000000213 0.0008478053 0.0000862285 0.0006913089
1403638154.61842 3.503074 2.051900 1.276037 -0.560788 -0.578577 -0.421178 0.416382 0.0001194692 0.0000033054 -0.0000365839 0.0000145847 0.0000029860 0.0000208447 0.0008267517 0.0001146277 -0.0000014750 0.0009512211 0.0000947678 0.0007505536
1403638154.68509 3.459869 2.103076 1.276499 -0.561008 -0.582167 -0.415876 0.416411 0.0001193982 0.0000029639 -0.0000376692 0.0000146842 0.0000030530 0.0000212099 0.0008811179 0.0001077208 -0.0000098389 0.0010732488 0.0001133922 0.0008120116
1403638154.75175 3.413087 2.154957 1.277410 -0.559583 -0.587968 -0.411270 0.414750 0.0001192603 0.0000031015 -0.0000388383 0.0000150215 0.0000029484 0.0000220418 0.0009730224 0.0001003631 -0.0000168959 0.0012319039 0.0001278874 0.0008905638
1403638154.81842 3.365300 2.205557 1.276507 -0.556992 -0.593829 -0.408415 0.412705 0.0001190120 0.0000035587 -0.0000397818 0.0000130988 0.0000027913 0.0000224076 0.0010275569 0.0000165828 -0.0000781394 0.0012341240 0.0000979141 0.0008521702
1403638154.88509 3.311631 2.260334 1.279958 -0.553564 -0.599664 -0.406583 0.410682 0.0001187372 0.0000041146 -0.0000408873 0.0000130029 0.0000020537 0.0000223376 0.0010030856 0.0000061465 -0.0000632336 0.0013706996 0.0001363809 0.0008641590
1403638154.95175 3.239680 2.312888 1.277537 -0.551447 -0.603266 -0.406465 0.408366 0.0001091654 0.0000044746 -0.0000376705 0.0000049225 -0.0000012945 0.0000174443 0.0006134915 0.0000505381 0.0000014095 0.0005732960 0.0000346349 0.0005168986
