# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638166.28507 1.331545 9.262287 3.282713 -0.533808 -0.621096 -0.373750 0.435431 0.0005297099 -0.0000032449 -0.0001894162 0.0000014491 0.0000011069 0.0000698164 0.0391328785 0.0113643044 0.0000955454 0.0095839187 0.0004554908 0.0016926843
1403638166.35174 1.408931 9.274697 3.308320 -0.532063 -0.623253 -0.374244 0.434058 0.0005294070 -0.0000002319 -0.0001902785 0.0000014338 0.0000000300 0.0000704789 0.0391487817 0.0110775779 0.0000981089 0.0094002596 0.0004494350 0.0016949435
1403638166.41841 1.488988 9.280402 3.338914 -0.531035 -0.624844 -0.374152 0.433108 0.0005286861 0.0000014557 -0.0001912307 0.0000014370 -0.0000005710 0.0000712513 0.0392284294 0.0108034413 0.0000999821 0.0091898336 0.0004497566 0.0016975779
1403638166.48507 1.561973 9.293712 3.373197 -0.529954 -0.626362 -0.373787 0.432554 0.0005281724 0.0000027135 -0.0001919155 0.0000014422 -0.0000010219 0.0000718123 0.0392590376 0.0105251748 0.0001016485 0.0089493551 0.0004463872 0.0017000319
1403638166.55174 1.628118 9.289100 3.404729 -0.529698 -0.626307 -0.373122 0.433520 0.0005286501 0.0000015220 -0.0001916537 0.0000014412 -0.0000005820 0.0000715548 0.0393610687 0.0102672527 0.0001024440 0.0087839403 0.0004500122 0.0017043898
1403638166.61841 1.698277 9.286313 3.435294 -0.529225 -0.626534 -0.372585 0.434230 0.0005286740 0.0000011056 -0.0001913786 0.0000014350 -0.0000004210 0.0000713505 0.0392993347 0.0100330148 0.0001033249 0.0085950068 0.0004476925 0.0017086241
1403638166.68507 1.773653 9.303439 3.458811 -0.529840 -0.626210 -0.369935 0.436210 0.0005280648 -0.0000021197 -0.0001916548 0.0000014478 0.0000007601 0.0000716165 0.0392601605 0.0097910197 0.0001032189 0.0082955726 0.0004569521 0.0017130811
1403638166.75174 1.844033 9.293356 3.480115 -0.532470 -0.625156 -0.365162 0.438535 0.0005268730 -0.0000088154 -0.0001931029 0.0000015770 0.0000032419 0.0000728350 0.0394073683 0.0095315025 0.0001042600 0.0081102778 0.0004564142 0.0017174881
1403638166.81841 1.914650 9.276829 3.496368 -0.538399 -0.623969 -0.356354 0.440228 0.0005220264 -0.0000193199 -0.0001976376 0.0000021451 0.0000073451 0.0000768987 0.0393106621 0.0092581940 0.0001040359 0.0079252543 0.0004635360 0.0017218669
1403638166.88507 1.980477 9.276954 3.509127 -0.545877 -0.624744 -0.344720 0.439183 0.0005133196 -0.0000297498 -0.0002058952 0.0000031624 0.0000119876 0.0000846856 0.0391714592 0.0089911609 0.0001043939 0.0077114212 0.0004669868 0.0017279642
1403638166.95174 2.050252 9.290742 3.518318 -0.551633 -0.627337 -0.335078 0.435744 0.0005036102 -0.0000356689 -0.0002143316 0.0000039750 0.0000152539 0.0000933435 0.0391821589 0.0087370026 0.0001047348 0.0075103674 0.0004778263 0.0017327993
1403638167.01841 2.116259 9.304787 3.524636 -0.554691 -0.630653 -0.330379 0.430633 0.0004965498 -0.0000358547 -0.0002210907 0.0000040469 0.0000160421 0.0001006015 0.0393287181 0.0084803365 0.0001051843 0.0073920600 0.0004837227 0.0017378992
1403638167.08507 2.183622 9.321596 3.532151 -0.555136 -0.633631 -0.329134 0.426621 0.0004929200 -0.0000333664 -0.0002249464 0.0000037233 0.0000153067 0.0001048377 0.0394782428 0.0082314093 0.0001064105 0.0072914586 0.0004906963 0.0017427633
1403638167.15174 2.256810 9.328345 3.542256 -0.553209 -0.636349 -0.331448 0.423276 0.0004924708 -0.0000279627 -0.0002263679 0.0000030595 0.0000129271 0.0001062478 0.0396617936 0.0079849886 0.0001071813 0.0072012939 0.0004948686 0.0017486663
1403638167.21841 2.324981 9.341934 3.559583 -0.550876 -0.637942 -0.335264 0.420907 0.0004938890 -0.0000223399 -0.0002260139 0.0000024846 0.0000102944 0.0001056237 0.0397547831 0.0077036214 0.0001083745 0.0071005166 0.0005033672 0.0017532847
1403638167.28507 2.395893 9.364376 3.579637 -0.548300 -0.638909 -0.338972 0.419834 0.0004960475 -0.0000175730 -0.0002248148 0.0000021002 0.0000080318 0.0001040834 0.0399109249 0.0074545578 0.0001089699 0.0070238979 0.0005075705 0.0017594419
1403638167.35174 2.470697 9.391103 3.602343 -0.546902 -0.638830 -0.341458 0.419762 0.0004981045 -0.0000152013 -0.0002235675 0.0000019504 0.0000068896 0.0001025386 0.0401425874 0.0071930445 0.0001094632 0.0069591549 0.0005149047 0.0017646173
1403638167.41841 2.539921 9.420039 3.625134 -0.546349 -0.637681 -0.343121 0.420873 0.0005000493 -0.0000150347 -0.0002217503 0.0000019364 0.0000067360 0.0001005301 0.0404035159 0.0069136460 0.0001104846 0.0068837597 0.0005189167 0.0017699991
1403638167.48507 2.603816 9.444978 3.651574 -0.545902 -0.635258 -0.344813 0.423724 0.0005037691 -0.0000164868 -0.0002185993 0.0000020307 0.0000072272 0.0000970374 0.0406801839 0.0066562988 0.0001121537 0.0068254043 0.0005303878 0.0017738321
1403638167.55174 2.669180 9.479062 3.671624 -0.545298 -0.631656 -0.346776 0.428261 0.0005086879 -0.0000188004 -0.0002138935 0.0000021767 0.0000079813 0.0000921065 0.0409236564 0.0064218002 0.0001141484 0.0067794405 0.0005365901 0.0017790488
1403638167.61841 2.731812 9.515271 3.688141 -0.546825 -0.626006 -0.346923 0.434447 0.0005131486 -0.0000254810 -0.0002087952 0.0000027512 0.0000104551 0.0000871114 0.0412385305 0.0061729813 0.0001160511 0.0067320014 0.0005458192 0.0017846100
1403638167.68507 2.797676 9.556983 3.701755 -0.550126 -0.619485 -0.346781 0.439708 0.0005165472 -0.0000329935 -0.0002045268 0.0000036038 0.0000131596 0.0000831269 0.0415752295 0.0059389460 0.0001174242 0.0066998935 0.0005545558 0.0017907162
1403638167.75174 2.862521 9.604522 3.711946 -0.554839 -0.612839 -0.347296 0.442682 0.0005184640 -0.0000394505 -0.0002015378 0.0000045060 0.0000154368 0.0000804793 0.0419573563 0.0056788654 0.0001205246 0.0066625323 0.0005681941 0.0017949732
1403638167.81841 2.927737 9.652177 3.722612 -0.561643 -0.605140 -0.347948 0.444179 0.0005189806 -0.0000464539 -0.0001997056 0.0000056696 0.0000179793 0.0000789819 0.0424004805 0.0054257928 0.0001232066 0.0066403093 0.0005779568 0.0018001652
1403638167.88507 2.995282 9.699249 3.724262 -0.568506 -0.597697 -0.350620 0.443425 0.0005193477 -0.0000503669 -0.0001986996 0.0000063970 0.0000193690 0.0000781566 0.0428440364 0.0051630366 0.0001261808 0.0066283034 0.0005871055 0.0018039971
1403638167.95174 3.068401 9.746629 3.728977 -0.575245 -0.590131 -0.354757 0.441572 0.0005201842 -0.0000529310 -0.0001973780 0.0000069073 0.0000201802 0.0000770328 0.0432803441 0.0048873579 0.0001284952 0.0066243989 0.0005943410 0.0018107449
1403638168.01841 3.142569 9.790215 3.732507 -0.581662 -0.583260 -0.359984 0.438052 0.0005208617 -0.0000532566 -0.0001969579 0.0000069731 0.0000202303 0.0000766253 0.0437223190 0.0045815121 0.0001318937 0.0066281416 0.0006027283 0.0018155189
1403638168.08507 3.221341 9.835400 3.737541 -0.587434 -0.576720 -0.364156 0.435551 0.0005213660 -0.0000544186 -0.0001962341 0.0000072085 0.0000205665 0.0000760064 0.0441367470 0.0042692323 0.0001348710 0.0066343576 0.0006089105 0.0018198886
1403638168.15174 3.297552 9.889251 3.747595 -0.592133 -0.571434 -0.368823 0.432217 0.0005222420 -0.0000537982 -0.0001957750 0.0000070760 0.0000202470 0.0000755442 0.0445623939 0.0039275365 0.0001381347 0.0066540157 0.0006161295 0.0018251808
1403638168.21841 3.382639 9.947283 3.761137 -0.596516 -0.566914 -0.374646 0.427104 0.0005227619 -0.0000506810 -0.0001959562 0.0000064435 0.0000190621 0.0000756112 0.0450741861 0.0035928864 0.0001430394 0.0066662333 0.0006167126 0.0018289323
1403638168.28507 3.465754 9.991365 3.772035 -0.601707 -0.562060 -0.381461 0.420149 0.0005230958 -0.0000463188 -0.0001970267 0.0000056340 0.0000174990 0.0000763790 0.0455999352 0.0032138502 0.0001463285 0.0067051977 0.0006188861 0.0018325780
1403638168.35174 3.553979 10.033899 3.788139 -0.606694 -0.555983 -0.389059 0.414050 0.0005246254 -0.0000425101 -0.0001965884 0.0000049841 0.0000159706 0.0000758386 0.0460233656 0.0028449445 0.0001502636 0.0067538384 0.0006238460 0.0018399473
1403638168.41841 3.649759 10.081729 3.808741 -0.611238 -0.550624 -0.396208 0.407701 0.0005257297 -0.0000382084 -0.0001964602 0.0000043171 0.0000143051 0.0000755936 0.0464305501 0.0024480948 0.0001543385 0.0068152277 0.0006286621 0.0018469762
1403638168.48507 3.739698 10.127540 3.830131 -0.615276 -0.548678 -0.402459 0.398014 0.0005246395 -0.0000304768 -0.0001994714 0.0000033159 0.0000116006 0.0000780346 0.0468973002 0.0020137799 0.0001583637 0.0068913404 0.0006320489 0.0018536277
1403638168.55174 3.834496 10.174932 3.848071 -0.618375 -0.550125 -0.407060 0.386363 0.0005211656 -0.0000202265 -0.0002049815 0.0000023345 0.0000079512 0.0000828444 0.0473476256 0.0016086702 0.0001628055 0.0069777299 0.0006355027 0.0018585903
