# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1520530313.34974 0.889352 -0.225466 1.253520 0.025510 0.000152 -0.002236 0.999672 0.0017253944 0.0000000050 0.0000000079 0.0017254154 0.0000000298 0.0017254121 0.0154694275 0.0000000987 -0.0001138460 0.0154703643 0.0000125084 0.0018595926
1520530313.39979 0.891942 -0.225976 1.252029 0.026091 0.000863 -0.001803 0.999658 0.0018131462 0.0000000052 0.0000000082 0.0018131729 0.0000000368 0.0018131711 0.0192305465 0.0000001224 -0.0001393342 0.0192316445 0.0000163491 0.0019816008
1520530313.44974 0.894625 -0.226677 1.250307 0.025972 0.000800 -0.001095 0.999662 0.0019057193 0.0000000056 0.0000000088 0.0019057523 0.0000000447 0.0019057528 0.0237069602 0.0000001576 -0.0001688435 0.0237082340 0.0000219366 0.0021145228
1520530313.49974 0.897514 -0.227406 1.248346 0.025530 0.000858 -0.000739 0.999673 0.0020033778 0.0000000057 0.0000000091 0.0020034168 0.0000000531 0.0020034214 0.0290085555 0.0000001991 -0.0002035937 0.0290100339 0.0000287400 0.0022594389
1520530313.54975 0.900758 -0.228126 1.246097 0.025285 0.001301 -0.000853 0.999679 0.0021060382 0.0000000054 0.0000000087 0.0021060837 0.0000000619 0.0021060921 0.0352376536 0.0000002464 -0.0002453684 0.0352393882 0.0000365883 0.0024169856
1520530313.59975 0.904351 -0.228843 1.243644 0.025068 0.001635 -0.000604 0.999684 0.0022136957 0.0000000049 0.0000000082 0.0022137484 0.0000000711 0.0022137597 0.0425114127 0.0000003007 -0.0002954122 0.0425134660 0.0000455899 0.0025879387
1520530313.64974 0.908222 -0.229641 1.240975 0.025104 0.002111 -0.000197 0.999683 0.0023263454 0.0000000040 0.0000000074 0.0023264064 0.0000000814 0.0023264204 0.0509558605 0.0000003684 -0.0003543053 0.0509582922 0.0000565989 0.0027731046
1520530313.69975 0.912479 -0.230430 1.238182 0.025798 0.002107 0.000592 0.999665 0.0024439989 0.0000000037 0.0000000071 0.0024440690 0.0000000926 0.0024440863 0.0607110272 0.0000004459 -0.0004244500 0.0607139285 0.0000690414 0.0029733755
1520530313.74975 0.917062 -0.231395 1.235326 0.026809 0.002217 0.001102 0.999638 0.0025666531 0.0000000045 0.0000000082 0.0025667327 0.0000001049 0.0025667550 0.0719273608 0.0000005515 -0.0005068567 0.0719308211 0.0000850210 0.0031896442
1520530313.79975 0.922024 -0.232588 1.232436 0.027242 0.002389 0.001400 0.999625 0.0026943064 0.0000000062 0.0000000106 0.0026943952 0.0000001178 0.0026944237 0.0847673625 0.0000007000 -0.0006038876 0.0847714950 0.0001059653 0.0034228588
1520530313.84975 0.927327 -0.234150 1.229498 0.026802 0.003238 0.001152 0.999635 0.0028269548 0.0000000078 0.0000000129 0.0028270539 0.0000001318 0.0028270888 0.0994052498 0.0000009196 -0.0007170481 0.0994101688 0.0001348176 0.0036739961
1520530313.89975 0.933224 -0.235987 1.226645 0.025576 0.003908 0.000674 0.999665 0.0029646062 0.0000000084 0.0000000137 0.0029647176 0.0000001463 0.0029647557 0.1160342952 0.0000012231 -0.0008521511 0.1160402052 0.0001720505 0.0039441468
1520530313.94975 0.939938 -0.238053 1.224040 0.023754 0.004747 0.000013 0.999707 0.0031072539 0.0000000060 0.0000000119 0.0031073791 0.0000001609 0.0031074175 0.1348638817 0.0000016275 -0.0010165065 0.1348711124 0.0002181121 0.0042344419
1520530313.99976 0.947744 -0.240243 1.221607 0.022355 0.005488 -0.000286 0.999735 0.0032549041 0.0000000000 0.0000000082 0.0032550442 0.0000001754 0.0032550778 0.1561135079 0.0000021504 -0.0012200040 0.1561225843 0.0002728428 0.0045461263
1520530314.04976 0.956757 -0.242343 1.219292 0.022179 0.006596 0.001029 0.999732 0.0034075462 -0.0000000084 0.0000000033 0.0034077042 0.0000001920 0.0034077286 0.1800173341 0.0000027712 -0.0014718722 0.1800290007 0.0003325847 0.0048804496
