# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1520530313.14973 0.878050 -0.224335 1.257588 0.027027 0.000614 -0.005393 0.999620 0.0014247297 0.0000000067 0.0000000085 0.0014247294 0.0000000095 0.0014247325 0.0059981289 0.0000000436 -0.0000401779 0.0059984803 0.0000049635 0.0014709222
1520530313.19973 0.880859 -0.224871 1.256539 0.025278 0.001336 -0.005262 0.999666 0.0014923949 0.0000000070 0.0000000091 0.0014924012 0.0000000139 0.0014924000 0.0076791408 0.0000000624 -0.0000539993 0.0076796090 0.0000071980 0.0015544167
1520530313.24974 0.883792 -0.225089 1.255655 0.024391 0.000586 -0.004205 0.999693 0.0015650655 0.0000000062 0.0000000089 0.0015650777 0.0000000187 0.0015650732 0.0097720473 0.0000000751 -0.0000709736 0.0097726587 0.0000089126 0.0016466653
1520530313.29974 0.886634 -0.225197 1.254716 0.024683 -0.000152 -0.002991 0.999691 0.0016427311 0.0000000053 0.0000000082 0.0016427477 0.0000000240 0.0016427429 0.0123434667 0.0000000839 -0.0000907279 0.0123442342 0.0000104632 0.0017481921
1520530313.34974 0.889309 -0.225473 1.253520 0.025510 0.000152 -0.002236 0.999672 0.0017253941 0.0000000050 0.0000000079 0.0017254152 0.0000000299 0.0017254120 0.0154666727 0.0000000975 -0.0001130599 0.0154675974 0.0000129024 0.0018595805
1520530313.39979 0.891885 -0.225984 1.252028 0.026091 0.000863 -0.001803 0.999658 0.0018131458 0.0000000052 0.0000000082 0.0018131726 0.0000000370 0.0018131710 0.0192271634 0.0000001208 -0.0001382956 0.0192282460 0.0000168639 0.0019815854
1520530313.44974 0.894553 -0.226685 1.250307 0.025972 0.000800 -0.001095 0.999662 0.0019057189 0.0000000056 0.0000000088 0.0019057520 0.0000000449 0.0019057527 0.0237028598 0.0000001553 -0.0001675342 0.0237041149 0.0000225738 0.0021145042
1520530313.49974 0.897429 -0.227415 1.248346 0.025530 0.000858 -0.000739 0.999673 0.0020033775 0.0000000057 0.0000000090 0.0020034165 0.0000000532 0.0020034213 0.0290036105 0.0000001956 -0.0002020117 0.0290050673 0.0000294644 0.0022594171
1520530313.54975 0.900658 -0.228137 1.246097 0.025285 0.001301 -0.000853 0.999679 0.0021060379 0.0000000054 0.0000000087 0.0021060836 0.0000000620 0.0021060919 0.0352317824 0.0000002417 -0.0002435152 0.0352334928 0.0000374159 0.0024169605
1520530313.59975 0.904235 -0.228857 1.243644 0.025068 0.001635 -0.000604 0.999684 0.0022136954 0.0000000048 0.0000000081 0.0022137482 0.0000000713 0.0022137596 0.0425045318 0.0000002946 -0.0002931908 0.0425065566 0.0000465495 0.0025879088
1520530313.64974 0.908090 -0.229657 1.240975 0.025104 0.002111 -0.000197 0.999683 0.0023263451 0.0000000040 0.0000000073 0.0023264062 0.0000000815 0.0023264203 0.0509478868 0.0000003610 -0.0003517028 0.0509502856 0.0000577115 0.0027730698
1520530313.69975 0.912330 -0.230448 1.238183 0.025798 0.002107 0.000592 0.999665 0.0024439987 0.0000000037 0.0000000071 0.0024440688 0.0000000928 0.0024440862 0.0607018986 0.0000004368 -0.0004214096 0.0607047617 0.0000703108 0.0029733347
1520530313.74975 0.916895 -0.231413 1.235328 0.026809 0.002217 0.001102 0.999638 0.0025666529 0.0000000045 0.0000000082 0.0025667325 0.0000001050 0.0025667549 0.0719170866 0.0000005413 -0.0005033369 0.0719205033 0.0000865466 0.0031895970
1520530313.79975 0.921840 -0.232603 1.232438 0.027242 0.002389 0.001400 0.999625 0.0026943062 0.0000000063 0.0000000107 0.0026943950 0.0000001179 0.0026944237 0.0847558073 0.0000006884 -0.0005998522 0.0847598904 0.0001077795 0.0034228045
1520530313.84975 0.927124 -0.234162 1.229500 0.026802 0.003238 0.001152 0.999635 0.0028269547 0.0000000079 0.0000000129 0.0028270538 0.0000001318 0.0028270887 0.0993923606 0.0000009070 -0.0007124478 0.0993972232 0.0001370359 0.0036739344
1520530313.89975 0.933001 -0.235999 1.226647 0.025576 0.003908 0.000674 0.999665 0.0029646062 0.0000000083 0.0000000136 0.0029647177 0.0000001463 0.0029647556 0.1160202965 0.0000012088 -0.0008471593 0.1160261459 0.0001745775 0.0039440795
1520530313.94975 0.939693 -0.238069 1.224043 0.023754 0.004747 0.000013 0.999707 0.0031072540 0.0000000058 0.0000000118 0.0031073793 0.0000001608 0.0031074172 0.1348487817 0.0000016151 -0.0010112587 0.1348559476 0.0002211599 0.0042343713
