# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1520530312.64972 0.860652 -0.222276 1.261470 0.025244 -0.008036 -0.012285 0.999574 0.0010230187 0.0000000000 0.0000000000 0.0010230187 0.0000000000 0.0010230187 0.0010362321 0.0000000002 -0.0000001245 0.0010362333 0.0000000219 0.0010231576
1520530312.69972 0.861476 -0.222352 1.262213 0.023933 -0.008465 -0.012022 0.999605 0.0010406910 0.0000000001 0.0000000000 0.0010406910 0.0000000000 0.0010406909 0.0010819489 0.0000000005 -0.0000003869 0.0010819525 0.0000000541 0.0010411250
1520530312.74972 0.862463 -0.222429 1.262697 0.023035 -0.008103 -0.011633 0.999634 0.0010633639 0.0000000002 0.0000000000 0.0010633637 0.0000000001 0.0010633636 0.0011632221 0.0000000010 -0.0000009139 0.0011632304 0.0000001084 0.0010644115
1520530312.79972 0.863631 -0.222487 1.262787 0.023054 -0.007527 -0.011119 0.999644 0.0010910373 0.0000000003 -0.0000000000 0.0010910369 0.0000000001 0.0010910367 0.0012968268 0.0000000016 -0.0000018425 0.0012968434 0.0000001812 0.0010931902
1520530312.84972 0.864977 -0.222637 1.262417 0.023983 -0.006767 -0.010573 0.999634 0.0011237064 0.0000000003 -0.0000000001 0.0011237058 0.0000000001 0.0011237056 0.0015033540 0.0000000030 -0.0000033359 0.0015033833 0.0000003393 0.0011276669
1520530312.89972 0.866545 -0.222828 1.261753 0.025743 -0.005984 -0.009768 0.999603 0.0011613796 0.0000000004 -0.0000000001 0.0011613790 0.0000000002 0.0011613788 0.0018078169 0.0000000053 -0.0000056239 0.0018078658 0.0000005977 0.0011680998
1520530312.94972 0.868412 -0.222961 1.260986 0.028133 -0.005498 -0.008220 0.999555 0.0012040529 0.0000000007 0.0000000003 0.0012040520 0.0000000006 0.0012040520 0.0022397447 0.0000000078 -0.0000090459 0.0022398239 0.0000008912 0.0012147732
1520530312.99972 0.870481 -0.223081 1.260290 0.029945 -0.004610 -0.006814 0.999518 0.0012517243 0.0000000017 0.0000000018 0.0012517221 0.0000000014 0.0012517230 0.0028335197 0.0000000110 -0.0000138313 0.0028336409 0.0000012512 0.0012680091
1520530313.04973 0.872836 -0.223340 1.259681 0.030001 -0.003786 -0.005231 0.999529 0.0013043946 0.0000000032 0.0000000042 0.0013043908 0.0000000029 0.0013043931 0.0036282704 0.0000000170 -0.0000204463 0.0036284507 0.0000019236 0.0013281739
1520530313.09973 0.875329 -0.223729 1.258935 0.028819 -0.001993 -0.004652 0.999572 0.0013620638 0.0000000050 0.0000000068 0.0013620598 0.0000000056 0.0013620640 0.0046674092 0.0000000267 -0.0000290527 0.0046676646 0.0000030371 0.0013956652
