# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638156.88508 1.391491 3.073717 1.289563 -0.392440 -0.732893 -0.250034 0.496328 0.0004057356 -0.0000117352 -0.0001620238 0.0000108713 0.0000045822 0.0000791194 0.0053844435 0.0007076207 0.0001640159 0.0047028070 0.0001771399 0.0027374363
1403638156.95175 1.331120 3.101896 1.281112 -0.393033 -0.733117 -0.250631 0.495226 0.0004030307 -0.0000106058 -0.0001612690 0.0000101035 0.0000042777 0.0000786845 0.0053954962 0.0007540923 0.0001527346 0.0047834432 0.0001837298 0.0027140768
1403638157.01842 1.256216 3.130545 1.285303 -0.395936 -0.732235 -0.252100 0.493470 0.0003997723 -0.0000107771 -0.0001614271 0.0000098418 0.0000042981 0.0000791145 0.0054822866 0.0008060098 0.0001563629 0.0048704829 0.0001935040 0.0027273150
1403638157.08508 1.193447 3.162199 1.274350 -0.398481 -0.732208 -0.252433 0.491286 0.0003972564 -0.0000108327 -0.0001620837 0.0000095362 0.0000042913 0.0000798625 0.0055659326 0.0008684717 0.0001521240 0.0049933023 0.0002091454 0.0027468302
1403638157.15175 1.125304 3.194804 1.265765 -0.400632 -0.732847 -0.252548 0.488517 0.0003937013 -0.0000103104 -0.0001639822 0.0000093250 0.0000041143 0.0000819438 0.0056644109 0.0009226752 0.0001420928 0.0050949189 0.0002232525 0.0027616464
1403638157.21842 1.075877 3.226012 1.273419 -0.401704 -0.733788 -0.251936 0.486535 0.0003914491 -0.0000103525 -0.0001642427 0.0000090183 0.0000041677 0.0000822489 0.0057508220 0.0009814453 0.0001326080 0.0052079617 0.0002328213 0.0027590843
1403638157.28508 1.010501 3.263808 1.281094 -0.401824 -0.733240 -0.252011 0.487224 0.0003908694 -0.0000103040 -0.0001638146 0.0000089888 0.0000041629 0.0000818877 0.0058535826 0.0010228624 0.0001221905 0.0052941885 0.0002483255 0.0027713731
1403638157.35175 0.970974 3.295907 1.296808 -0.398596 -0.734596 -0.252698 0.487477 0.0003875773 -0.0000069595 -0.0001614761 0.0000078661 0.0000028678 0.0000796196 0.0057757520 0.0011186130 0.0000204336 0.0053860822 0.0002643814 0.0026060858
1403638157.41842 0.908002 3.342183 1.299408 -0.393722 -0.735566 -0.254662 0.488951 0.0003868736 -0.0000045746 -0.0001598408 0.0000075918 0.0000017245 0.0000782809 0.0058562306 0.0011605017 0.0000156698 0.0054497618 0.0002712653 0.0026177473
1403638157.48508 0.833672 3.385094 1.302749 -0.389741 -0.735486 -0.256888 0.491091 0.0003883011 -0.0000024953 -0.0001569493 0.0000074850 0.0000008057 0.0000754821 0.0059152497 0.0012387013 0.0000030905 0.0055685023 0.0002831911 0.0026196882
