# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638167.61841 2.708095 9.463487 3.642304 -0.552601 -0.620054 -0.352324 0.431315 0.0004620811 -0.0000215934 -0.0001890432 0.0000023402 0.0000087338 0.0000790409 0.0406401630 0.0051622610 0.0002270677 0.0050941120 0.0002116451 0.0015025761
1403638167.68507 2.772746 9.502321 3.654937 -0.555865 -0.613491 -0.352227 0.436553 0.0004651015 -0.0000283714 -0.0001851992 0.0000030744 0.0000112039 0.0000754419 0.0410238930 0.0049100798 0.0002312742 0.0050235216 0.0002130568 0.0015081447
1403638167.75174 2.831823 9.543792 3.663750 -0.560638 -0.606751 -0.352775 0.439418 0.0004666326 -0.0000341305 -0.0001824451 0.0000038088 0.0000132513 0.0000730109 0.0413698160 0.0046433874 0.0002323820 0.0049285250 0.0002134908 0.0015098830
1403638167.81841 2.895056 9.584601 3.670859 -0.567255 -0.599048 -0.353366 0.441017 0.0004670001 -0.0000404069 -0.0001808205 0.0000048199 0.0000155565 0.0000716923 0.0417637142 0.0044030622 0.0002364104 0.0048703657 0.0002156063 0.0015150905
1403638167.88507 2.967347 9.623335 3.674997 -0.573966 -0.591589 -0.356027 0.440262 0.0004670566 -0.0000439294 -0.0001797957 0.0000054577 0.0000168219 0.0000708769 0.0421454361 0.0041402839 0.0002399046 0.0047880741 0.0002165510 0.0015164880
1403638167.95174 3.039190 9.667641 3.679220 -0.580596 -0.583981 -0.360196 0.438330 0.0004678054 -0.0000460923 -0.0001786089 0.0000058830 0.0000175086 0.0000698573 0.0425092836 0.0038269799 0.0002442296 0.0047264148 0.0002181903 0.0015227333
1403638168.01841 3.113114 9.715876 3.680843 -0.586777 -0.577288 -0.365138 0.434863 0.0004680678 -0.0000462667 -0.0001781150 0.0000059121 0.0000175130 0.0000694245 0.0429201524 0.0035201781 0.0002477474 0.0046473676 0.0002194195 0.0015229211
1403638168.08507 3.189137 9.762439 3.687203 -0.592338 -0.570876 -0.369136 0.432405 0.0004685237 -0.0000473694 -0.0001774497 0.0000061402 0.0000178475 0.0000688552 0.0433820741 0.0031983691 0.0002514153 0.0045957407 0.0002212108 0.0015280759
1403638168.15174 3.268332 9.816437 3.698253 -0.596944 -0.565628 -0.373737 0.429003 0.0004689625 -0.0000466550 -0.0001769998 0.0000059892 0.0000175126 0.0000684333 0.0438225519 0.0028657866 0.0002557714 0.0045278608 0.0002214781 0.0015261176
1403638168.21841 3.350076 9.865225 3.709377 -0.601624 -0.560668 -0.379855 0.423569 0.0004695257 -0.0000438332 -0.0001772625 0.0000054521 0.0000164477 0.0000685546 0.0443406919 0.0025084026 0.0002605549 0.0044862651 0.0002225727 0.0015320117
1403638168.28507 3.437026 9.906796 3.723920 -0.606637 -0.555780 -0.386693 0.416616 0.0004694974 -0.0000397820 -0.0001780633 0.0000047247 0.0000149805 0.0000691455 0.0447741632 0.0021410970 0.0002645490 0.0044316689 0.0002242241 0.0015299334
1403638168.35174 3.523598 9.952304 3.742404 -0.611483 -0.549735 -0.394197 0.410473 0.0004708789 -0.0000362680 -0.0001774333 0.0000041569 0.0000135530 0.0000684708 0.0451663308 0.0017407332 0.0002690826 0.0044009726 0.0002254870 0.0015359109
1403638168.41841 3.608079 10.003890 3.761290 -0.616083 -0.544265 -0.401410 0.403840 0.0004716310 -0.0000323446 -0.0001772854 0.0000035801 0.0000120393 0.0000682366 0.0456034778 0.0013449217 0.0002733912 0.0043712331 0.0002286292 0.0015344915
1403638168.48507 3.697644 10.050799 3.782683 -0.620033 -0.542349 -0.407476 0.394183 0.0004704252 -0.0000252838 -0.0001799465 0.0000027338 0.0000095439 0.0000704377 0.0461072681 0.0009533888 0.0002786623 0.0043612932 0.0002297464 0.0015402856
1403638168.55174 3.789784 10.095004 3.802225 -0.623294 -0.543626 -0.411996 0.382407 0.0004669439 -0.0000161377 -0.0001847477 0.0000019305 0.0000062490 0.0000747041 0.0465678465 0.0005399432 0.0002836905 0.0043524384 0.0002320334 0.0015385949
1403638168.61841 3.880117 10.141573 3.818525 -0.626066 -0.545861 -0.415331 0.370914 0.0004626037 -0.0000072212 -0.0001898460 0.0000014927 0.0000028172 0.0000795367 0.0470162108 0.0001083464 0.0002889138 0.0043549233 0.0002341504 0.0015439622
1403638168.68507 3.967799 10.193964 3.835987 -0.627874 -0.547773 -0.418189 0.361713 0.0004590745 0.0000002146 -0.0001934510 0.0000013784 -0.0000002442 0.0000831495 0.0474872254 -0.0003107195 0.0002935395 0.0043606806 0.0002372488 0.0015410969
