# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1520530313.89975 0.933224 -0.235987 1.226645 0.025576 0.003908 0.000674 0.999665 0.0029646062 0.0000000083 0.0000000136 0.0029647177 0.0000001463 0.0029647556 0.1160202170 0.0000012123 -0.0008501575 0.1160261119 0.0001745004 0.0039441244
1520530313.94975 0.939938 -0.238053 1.224040 0.023754 0.004747 0.000013 0.999707 0.0031072540 0.0000000058 0.0000000118 0.0031073793 0.0000001608 0.0031074172 0.1348486906 0.0000016193 -0.0010148343 0.1348559124 0.0002210227 0.0042344262
1520530313.99976 0.947744 -0.240243 1.221607 0.022355 0.005488 -0.000286 0.999735 0.0032549042 -0.0000000004 0.0000000080 0.0032550444 0.0000001753 0.0032550774 0.1560970383 0.0000021453 -0.0012189477 0.1561061178 0.0002759281 0.0045461216
1520530314.04976 0.956757 -0.242343 1.219292 0.022179 0.006596 0.001029 0.999732 0.0034075461 -0.0000000088 0.0000000031 0.0034077044 0.0000001920 0.0034077279 0.1799992083 0.0000027719 -0.0014715375 0.1800108920 0.0003358444 0.0048804586
1520530314.09882 0.868897 -0.273057 1.218558 0.025603 0.003433 0.002462 0.999663 0.0008158226 0.0002083133 -0.0001689132 0.0021368295 -0.0001423774 0.0034972464 0.0698311035 0.0055539887 0.0002280458 0.0056937167 0.0022688442 0.0051779150
1520530314.14882 0.873475 -0.277646 1.216131 0.026330 0.005512 0.004847 0.999626 0.0008848574 0.0002282371 -0.0001632993 0.0022539905 -0.0001377890 0.0036557682 0.0807214452 0.0063022519 0.0013050379 0.0060995314 0.0026931991 0.0055665166
1520530314.19883 0.879229 -0.282594 1.213501 0.026802 0.006789 0.008365 0.999583 0.0009627437 0.0002562191 -0.0001777807 0.0023770621 -0.0001388943 0.0038179177 0.0934394136 0.0067373015 0.0013910308 0.0069717015 0.0030046575 0.0059685146
1520530314.24842 0.894446 -0.285269 1.208328 0.026226 0.007304 0.012224 0.999555 0.0002722528 -0.0001364739 -0.0000268081 0.0005329755 0.0002191795 0.0039082464 0.0061560114 0.0020557874 0.0038027593 0.0059006601 0.0036361331 0.0062995687
1520530314.29842 0.902770 -0.290194 1.205434 0.025923 0.007575 0.015478 0.999515 0.0002904551 -0.0001427532 -0.0000212590 0.0005771022 0.0002259144 0.0040759530 0.0066850692 0.0024926896 0.0042389935 0.0065607723 0.0040286533 0.0067291720
1520530314.34842 0.912387 -0.295481 1.202641 0.025251 0.007856 0.018457 0.999480 0.0003097329 -0.0001494380 -0.0000171381 0.0006236208 0.0002354566 0.0042494413 0.0073083957 0.0030326312 0.0047205603 0.0072972244 0.0044656392 0.0071985091
1520530314.39842 0.923701 -0.301399 1.200251 0.025325 0.007534 0.022499 0.999398 0.0003290036 -0.0001551294 -0.0000072116 0.0006734311 0.0002508250 0.0044270163 0.0080489888 0.0036631251 0.0052420296 0.0081491409 0.0049377541 0.0076961335
1520530314.44659 0.950879 -0.279641 1.231676 0.028107 0.008159 0.034063 0.998991 0.0001109045 0.0000616967 0.0001123998 0.0003245464 0.0000221739 0.0031429071 0.0049304918 0.0006666079 0.0023618173 0.0032534510 0.0016314905 0.0045017041
1520530314.49592 0.999197 -0.271742 1.259668 0.031442 0.007318 0.035319 0.998855 0.0001201402 0.0000715359 0.0001155704 0.0003400421 0.0000551914 0.0032108517 0.0044052700 0.0001867054 0.0017464920 0.0031673651 0.0013806118 0.0041762656
1520530314.55306 1.017459 -0.248797 1.273532 0.034137 0.005875 0.049369 0.998180 0.0001062075 0.0000314871 0.0001301073 0.0002525741 0.0000543333 0.0032620294 0.0044671576 -0.0000052615 0.0016126649 0.0032034449 0.0013367077 0.0041919334
1520530314.60039 1.055762 -0.257690 1.290802 0.037430 0.006601 0.054590 0.997785 0.0000579274 -0.0000127337 0.0000665112 0.0000705860 0.0000660418 0.0022325302 0.0030179833 -0.0003331883 0.0004706529 0.0024861965 0.0005096883 0.0025259479
1520530314.64903 1.087987 -0.280217 1.300690 0.039026 0.008623 0.056549 0.997600 0.0000511937 -0.0000061916 0.0000669504 0.0000540286 0.0001366758 0.0019035123 0.0029062906 -0.0001293881 0.0005872882 0.0021164585 0.0003563648 0.0023843333
1520530314.69922 1.114766 -0.291462 1.319422 0.039234 0.007368 0.063871 0.997159 0.0000539326 -0.0000069806 0.0000700878 0.0000565175 0.0001397434 0.0019276506 0.0029143029 -0.0001449136 0.0006010210 0.0021245746 0.0003387538 0.0024260653
1520530314.74871 1.148637 -0.305782 1.342819 0.040179 0.003535 0.069125 0.996792 0.0000457220 -0.0000029858 0.0000691342 0.0000551695 0.0001340999 0.0017243216 0.0027921453 -0.0001083660 0.0005529532 0.0020765876 0.0002885550 0.0023363616
1520530314.79841 1.169568 -0.313695 1.365150 0.039876 -0.000454 0.079949 0.996001 0.0000492199 -0.0000027992 0.0000862571 0.0000554694 0.0001276697 0.0017333211 0.0028075907 -0.0001154948 0.0005649085 0.0020803584 0.0002690866 0.0023747953
1520530314.84934 1.194768 -0.323627 1.389647 0.033832 -0.004102 0.086735 0.995648 0.0000498633 -0.0000008882 0.0000948784 0.0000523194 0.0001136206 0.0017512741 0.0028413621 -0.0001198980 0.0005854925 0.0020671164 0.0002341539 0.0023867951
1520530314.89943 1.211370 -0.330426 1.417951 0.022920 -0.007531 0.095285 0.995158 0.0000471825 -0.0000023376 0.0000844067 0.0000478698 0.0000665506 0.0016363050 0.0027908216 -0.0000934616 0.0005879630 0.0020523985 0.0002103263 0.0024031765
1520530314.94899 1.233691 -0.339366 1.450045 0.009207 -0.012777 0.099424 0.994921 0.0000358449 0.0000046591 0.0000835334 0.0000334675 0.0000234933 0.0015212264 0.0026608754 -0.0000351967 0.0004785520 0.0020065078 0.0001960031 0.0021276638
1520530314.99849 1.249034 -0.346248 1.477405 -0.003505 -0.020509 0.104017 0.994358 0.0000399796 0.0000024547 0.0001062510 0.0000338217 -0.0000145973 0.0015359828 0.0026935529 -0.0000312057 0.0004988481 0.0020030439 0.0001839373 0.0021471350
1520530315.04848 1.261693 -0.352084 1.504026 -0.013622 -0.026960 0.106778 0.993824 0.0000373720 0.0000006724 0.0001007851 0.0000359458 -0.0000427232 0.0014575073 0.0026819750 -0.0000045141 0.0005327250 0.0019818037 0.0001609327 0.0021541848
1520530315.09898 1.274028 -0.358000 1.527611 -0.020251 -0.028064 0.107143 0.993641 0.0000353745 -0.0000016369 0.0000976986 0.0000370083 -0.0000636989 0.0014366383 0.0027039743 -0.0000023081 0.0005450035 0.0019697404 0.0001403117 0.0021519890
1520530315.14907 1.292685 -0.365860 1.544129 -0.024117 -0.027277 0.101366 0.994183 0.0000274221 -0.0000032052 0.0000658848 0.0000313664 -0.0000624865 0.0013120883 0.0026044918 0.0000429382 0.0005673158 0.0019423743 0.0001174974 0.0021453373
1520530315.19911 1.298280 -0.368866 1.553734 -0.026049 -0.027884 0.104209 0.993823 0.0000283208 -0.0000038152 0.0000669478 0.0000327541 -0.0000693408 0.0013209810 0.0026486904 0.0000357887 0.0005891057 0.0019491817 0.0001018973 0.0021650700
1520530315.24913 1.302436 -0.372047 1.554693 -0.029578 -0.029517 0.105291 0.993563 0.0000293276 -0.0000047948 0.0000700136 0.0000318356 -0.0000784766 0.0013306349 0.0026897698 0.0000295631 0.0006116450 0.0019429304 0.0000860427 0.0021847593
1520530315.29914 1.298535 -0.373253 1.548910 -0.032997 -0.030447 0.106342 0.993315 0.0000285726 -0.0000048601 0.0000653402 0.0000334277 -0.0000852645 0.0013179554 0.0027036353 0.0000318555 0.0006406473 0.0019335209 0.0000653057 0.0021938988
1520530315.34915 1.296359 -0.375318 1.532588 -0.033697 -0.029724 0.104772 0.993481 0.0000293752 -0.0000048069 0.0000640668 0.0000343901 -0.0000850866 0.0013297975 0.0027582127 0.0000230309 0.0006654723 0.0019206762 0.0000483278 0.0022173427
