# timestamp(s) tx ty tz qx qy qz qw
1520530312.49801 0.859565 -0.222085 1.260141 0.026088 -0.005618 -0.011079 0.999582 
1520530312.54801 0.859766 -0.221864 1.260375 0.026246 -0.006606 -0.011524 0.999567 
1520530312.59801 0.860154 -0.221595 1.260934 0.026235 -0.006841 -0.011626 0.999565 
1520530312.64801 0.860754 -0.221552 1.261865 0.025600 -0.007923 -0.012824 0.999559 
1520530312.69801 0.861607 -0.221457 1.263052 0.023784 -0.008491 -0.012956 0.999597 
1520530312.74801 0.862414 -0.221293 1.263833 0.022843 -0.008024 -0.012233 0.999632 
1520530312.79801 0.863424 -0.221028 1.264288 0.023258 -0.007608 -0.011650 0.999633 
1520530312.84801 0.864584 -0.220731 1.264417 0.025117 -0.006432 -0.010994 0.999603 
1520530312.89801 0.865786 -0.220694 1.264386 0.025189 -0.005062 -0.008527 0.999634 
1520530312.94801 0.867352 -0.220556 1.264314 0.028015 -0.005179 -0.007823 0.999563 
1520530312.99801 0.869104 -0.220199 1.264355 0.030438 -0.004012 -0.006151 0.999510 
1520530313.04801 0.870998 -0.220186 1.264573 0.029236 -0.003226 -0.004164 0.999559 
1520530313.09801 0.873042 -0.220175 1.264758 0.027561 -0.001189 -0.003175 0.999614 
1520530313.14801 0.875012 -0.220401 1.264608 0.027273 0.001127 -0.004500 0.999617 
1520530313.19801 0.877182 -0.220382 1.264646 0.024672 0.001846 -0.003721 0.999687 
1520530313.24801 0.879487 -0.220343 1.264996 0.024157 0.001448 -0.003419 0.999701 
1520530313.29801 0.881615 -0.220063 1.265486 0.024156 0.000852 -0.002170 0.999705 
1520530313.34801 0.883483 -0.219570 1.265755 0.024685 0.001197 0.000102 0.999695 
1520530313.39801 0.885295 -0.219857 1.265802 0.025101 0.001553 -0.000641 0.999684 
1520530313.44801 0.887151 -0.220049 1.265671 0.025934 0.001506 -0.000080 0.999663 
1520530313.49801 0.889150 -0.220236 1.265387 0.025533 0.001606 0.000236 0.999673 
1520530313.54801 0.891418 -0.220498 1.265087 0.025017 0.002368 0.000136 0.999684 
1520530313.59801 0.894022 -0.220732 1.264627 0.024040 0.002133 0.000704 0.999708 
1520530313.64801 0.896697 -0.221018 1.263742 0.024594 0.003342 0.001034 0.999691 
1520530313.69801 0.899788 -0.221267 1.262970 0.025465 0.003317 0.001656 0.999669 
1520530313.74801 0.903222 -0.221750 1.262230 0.026263 0.003328 0.001909 0.999648 
1520530313.79801 0.906890 -0.222299 1.261556 0.026604 0.003136 0.002056 0.999639 
1520530313.84801 0.910825 -0.223190 1.260815 0.026401 0.004256 0.002226 0.999640 
1520530313.89801 0.915364 -0.224450 1.260289 0.025216 0.004856 0.001774 0.999669 
1520530313.94801 0.920611 -0.225934 1.260109 0.023480 0.005812 0.001043 0.999707 
1520530313.99801 0.926903 -0.227531 1.260158 0.022307 0.006772 0.000599 0.999728 
1520530314.04801 0.934123 -0.229010 1.260611 0.021449 0.007905 0.002367 0.999736 
1520530314.09801 0.942935 -0.230609 1.260748 0.022532 0.008829 0.004257 0.999698 
1520530314.14801 0.952423 -0.232298 1.260918 0.023151 0.011399 0.006800 0.999644 
1520530314.19801 0.963071 -0.233708 1.260853 0.022776 0.012573 0.011893 0.999591 
1520530314.24801 0.974846 -0.235320 1.260636 0.024210 0.015294 0.015661 0.999467 
1520530314.29801 0.988692 -0.237438 1.260765 0.025489 0.014708 0.017016 0.999422 
1520530314.34801 1.003813 -0.239485 1.261419 0.021703 0.014344 0.022014 0.999419 
1520530314.39801 1.020342 -0.241796 1.261679 0.023743 0.015188 0.026208 0.999259 
